"%s","%s"
"API Password","API contrasena"
"Moneybooker: Transfer failed.","Moneybooker: Transferencia fallo."
"Moneybookers merchant email","Moneybookers email comerciante"
"Monthly","Mensual"
"N/A","N / A"
"Name","Nombre"
"Need at least one active method payment","Necesita al menos un pago metodo activo"
"New Address","Nueva direccion"
"New Bank Account","Cuenta Nuevo Banco"
"New Password","Nueva contrasena"
"No","No"
"Not verified","No verificado"
"Offline Payment","Desconectado Pago"
"Offline Payment Method","Forma de pago fuera de linea"
"Paid sucessful","A cargo exitoso"
"PayPal Payment","Pago PayPal"
"PayPal Payment Method","Forma de pago PayPal"
"PayPal merchant email","PayPal email comerciante"
"Payment Address","Direccion de Pago"
"Payment Fee Type","Tarifa Tipo Pago"
"Payment Method","Metodo de pago"
"Payout Amount","Pago Monto"
"Payout type","Tipo de Pago"
"Paypal","PayPal"
"Paypal Email","E-mail de Paypal"
"Pending","Pendiente"
"Period of auto payout","Periodo de pago automatico"
"Please chose an available payment method!","Por favor elija un metodo de pago disponible!"
"Please fill out all required fields in the form below.","Por favor, rellene todos los campos requeridos en el formulario de abajo."
"Please select region, state or province","Seleccione region, estado o provincia"
"Processing","Tratamiento"
"Receive Notification Email","Recibir notificacion por correo electronico"
"Receive money by Recurring Payment","Recibir dinero al recurrente Pago"
"Recurring Payment ","Pago recurrente"
"Recurring Payment Configuration","Configuracion Pago periodico"
"Recurring Payment Method","Metodo de Pago periodico"
"Recurring pay for account that has a pending request","Pago recurrente de cuenta que tiene una solicitud pendiente"
"Date Requested","Fecha requerida"
"Require Authentication","Requerir autenticacion"
"Required Fields","Campos requeridos"
"Routing Code: %s","Enrutamiento Codigo:% s"
"SWIFT Code: %s","Codigo SWIFT:% s"
"Sandbox Mode","Modo sandbox"
"Save","Guardar"
"Select an address from your address book or enter a new address.","Seleccione una direccion de su libreta de direcciones o introduzca una nueva direccion."
"Select an existing bank account or enter a new account.","Seleccione una cuenta bancaria existente o introducir una nueva cuenta."
"Select the payment method","Seleccione la forma de pago"
"Send Email Notification to Affiliate","Enviar notificacion por correo electronico al Afiliado"
"Send Email to Admins","Enviar correo electronico a Administradores"
"Send Request","Enviar peticion"
"State/Province","Estado / Provincia"
"Status","Estado"
"Street Address","Direccion"
"Street Address %s","Direccion %s"
"Subject of notification email","Asunto del correo electronico de notificacion"
"Telephone","Telefono"
"The withdrawal requested cannot exceed your current balance (%s).","El retiro solicitado no puede exceder el saldo actual (% s)."
"The number of days if you chose Custom period","El numero de dias si usted eligio periodo personalizada"
"There is no payment method on file for your account. Please update your details or contact us to solve the problem.","No existe un metodo de pago en el expediente para su cuenta. Por favor, actualice sus datos o contacte con nosotros para resolver el problema."
"This field will be updated to your profile.","Este campo se actualizara a tu perfil."
"This payment method is not available, please choose an alternative payment method.","Esta forma de pago no esta disponible, por favor elija un metodo de pago alternativo."
"Transaction ID","ID de transaccion"
"Transaction Id: ","ID de transaccion:"
"Transfer Information","Transferencia de Informacion"
"Use Recurring Payment Moneybookers API","Utilice recurrente Pago Moneybookers API"
"Use Recurring Payment PayPal API","Utilice recurrente Pago PayPal API"
"Use your MoneyBookers Merchant Email Default on Moneybookers Config","Usa tu Moneybookers Merchant Correo electronico predeterminado en Moneybookers Config"
"Use your PayPal Merchant Email Default on Paypal Config","Utilice su PayPal Merchant correo electronico predeterminado en Paypal Config"
"Verified","Verificado"
"Weekly","Semanal"
"Who pay fee","Quien pagar la cuota"
"Withdrawal Information","Informacion de Retiro"
"Yearly","Anual"
"Yes","Si"
"Yes if you want to transfer money to your affiliate account immediately through the paygate","Si si desea transferir dinero a su cuenta de afiliado de inmediato a traves de la PayGate"
"You are having a pending request!","Usted tiene una solicitud pendiente!"
"You can change this email address on the Edit Account page.","Puede cambiar esta direccion de correo electronico en la pagina Editar cuenta."
"You need to upload an image of  your Bank Statement to verify your account.","Tienes que subir una imagen de su estado de cuenta para verificar su cuenta."
"You need to upload an image of your house or your address in any reasonable documents to verify your address.","Tienes que subir una imagen de su casa o de su direccion en los documentos razonables para verificar su direccion."
"Your request has been sent to admin for approval.","Su solicitud ha sido enviado al administrador para su aprobacion."
"Zip/Postal Code","Postal / Codigo Postal"
